height,lanes,capacity,level,no_of_buildings,no_of_trees,has_parking,parking,has_railway,railway,has_building:material,building:material,has_public_transport,public_transport,has_power,power,has_man_made,man_made,has_house,house,has_surface,surface,has_covered,covered,has_natural,natural,has_water,water,has_residential,residential,has_location,location,has_service,service,has_shelter,shelter,has_highway,highway,has_junction,junction,has_kerb,kerb,has_traffic_calming,traffic_calming,has_barrier,barrier,has_sidewalk,sidewalk,has_bridge,bridge,has_smoothness,smoothness,has_footway,footway,has_incline,incline,has_tunnel,tunnel,has_golf,golf,has_material,material,has_place,place,has_waterway,waterway,has_wall,wall,has_ford,ford,elevation,distance_to_road,distance_to_water,landuse_area,is_synthetic
0.0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,26.36321175948277,295.1429407255205,residential,0.0
0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,41.793230329348276,1031.5286501458809,0,0.0
0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,22.350656732852677,220.1725665069337,residential,0.0
0.0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,3.536714633200204,118.85560762986236,residential,0.0
0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,parking_aisle,0,0,1,service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,18.871090467168166,1149.0171619440562,0,0.0
0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,11.397366873828382,107.65992369230845,residential,0.0
0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,22.523096550449754,244.69713256362783,0,0.0
0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,30.364397839553643,394.14046193665854,0,0.0
0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,asphalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,primary,0,0,0,0,0,0,0,0,0,0,1,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,0.3544434708703932,289.67441561015295,0,0.0
0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,49.392445618137344,173.1814264804803,residential,0.0
